,"Microphone Type 4189 With Protection Grid, Free Field Response 0°"
Frequency [Hz],Magnitude [dB]
1,-8.941
1.05925,-8.502
1.12202,-8.068
1.1885,-7.627
1.25893,-7.226
1.33352,-6.853
1.41254,-6.518
1.49624,-6.167
1.58489,-5.822
1.6788,-5.482
1.77828,-5.159
1.88365,-4.852
1.99526,-4.554
2.11349,-4.265
2.23872,-3.972
2.37137,-3.7
2.51189,-3.437
2.66073,-3.199
2.81838,-2.976
2.98538,-2.775
3.16228,-2.584
3.34965,-2.403
3.54813,-2.233
3.75837,-2.069
3.98107,-1.915
4.21696,-1.775
4.46684,-1.64
4.73151,-1.512
5.01187,-1.38
5.30884,-1.266
5.62341,-1.164
5.95662,-1.084
6.30957,-1.006
6.68344,-0.929
7.07946,-0.85
7.49894,-0.777
7.94328,-0.707
8.41395,-0.643
8.91251,-0.587
9.44061,-0.529
10,-0.484
10.5925,-0.441
11.2202,-0.406
11.885,-0.364
12.5893,-0.321
13.3352,-0.291
14.1254,-0.262
14.9624,-0.241
15.8489,-0.205
16.788,-0.193
17.7828,-0.173
18.8365,-0.163
19.9526,-0.138
21.1349,-0.126
22.3872,-0.111
23.7137,-0.102
25.1189,-0.089
26.6073,-0.082
28.1838,-0.074
29.8538,-0.065
31.6228,-0.06
33.4965,-0.052
35.4813,-0.049
37.5837,-0.042
39.8107,-0.039
42.1697,-0.032
44.6684,-0.028
47.3151,-0.02
50.1187,-0.016
53.0885,-0.01
56.2341,-0.009
59.5662,-0.006
63.0957,-0.004
66.8344,-0.004
70.7946,-0.002
74.9894,-0.002
79.4328,0.001
84.1395,0
89.1251,0.001
94.4061,-0.002
100,-0.002
105.925,-0.003
112.202,-0.002
118.85,-0.001
125.893,0.001
133.352,0
141.254,-0.001
149.624,-0.003
158.489,-0.002
167.88,-0.003
177.828,-0.005
188.365,0
199.526,0.011
211.349,0.005
223.872,0.007
237.137,-0.002
251.189,0.006
266.073,0.005
281.838,0.005
298.538,0
316.228,0.001
334.965,0.001
354.813,0.001
375.837,0.002
398.107,0.005
421.697,0.006
446.684,0.006
473.151,0.007
501.187,0.008
530.884,0.011
562.341,0.014
595.662,0.017
630.957,0.018
668.344,0.021
707.946,0.023
749.894,0.028
794.328,0.032
841.395,0.035
891.251,0.039
944.061,0.044
1000,0.048
1059.25,0.052
1122.02,0.057
1188.5,0.063
1258.93,0.068
1333.52,0.074
1412.54,0.081
1496.24,0.084
1584.89,0.089
1678.8,0.091
1778.28,0.096
1883.65,0.104
1995.26,0.113
2113.49,0.121
2238.72,0.127
2371.37,0.134
2511.89,0.138
2660.73,0.149
2818.38,0.163
2985.38,0.171
3162.28,0.178
3349.65,0.182
3548.13,0.188
3758.37,0.201
3981.07,0.212
4216.97,0.22
4466.84,0.223
4731.51,0.221
5011.87,0.218
5308.84,0.208
5623.41,0.2
5956.62,0.185
6309.57,0.163
6683.44,0.139
7079.46,0.119
7498.94,0.12
7943.28,0.13
8413.95,0.12
8912.51,0.097
9440.61,0.087
10000,0.105
10592.5,0.1
11220.2,0.187
11885,0.298
12589.3,0.413
13335.2,0.499
14125.4,0.588
14962.4,0.705
15848.9,0.786
16788,0.671
17782.8,0.302
18836.5,-0.25
19952.6,-0.854
21134.9,-1.564
22387.2,-1.765
